Index,University,Artificial Intelligence & Machine Learning,Data Science & Data Mining,Computer Vision & Image Processing,Natural Language Processing,Systems & Networking,Databases,Security & Privacy,Human Computer Interaction,Theoretical Computer Science,Software Engineering,Computer Graphics & Virtual Reality,Quantum Computing,Interdisciplinary Fields,Continent
125,University of Konstanz,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
126,RWTH Aachen University,0,0,0.5,0,0,0,0,0,0,0,0,0,0,europe
127,University of Fribourg,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
128,University of Otago,0,0,0.0,0,0,0,0,0,0,0,0,0,0,australasia
129,TU Ilmenau,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
130,IPI PAN,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
131,TU Dortmund,0,0,0.2222222222222222,0,0,0,0,0,0,0,0,0,0,europe
132,Brock University,0,0,0.0,0,0,0,0,0,0,0,0,0,0,North America
133,Polytechnic University of Catalonia,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
134,University of A Coruña,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
135,IST Austria,0,0,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,europe
136,Oregon State University,0,0,0.0277777777777777,0,0,0,0,0,0,0,0,0,0,North America
137,University of Southern Mississippi,0,0,0.0,0,0,0,0,0,0,0,0,0,0,North America
138,Purdue University,0,0,3.0,0,0,0,0,0,0,0,0,0,0,North America
139,Texas A&M at Qatar,0,0,0.0,0,0,0,0,0,0,0,0,0,0,asia
140,University of Louisiana - Lafayette,0,0,0.0,0,0,0,0,0,0,0,0,0,0,North America
141,TU Berlin,0,0,0.1755555555555554,0,0,0,0,0,0,0,0,0,0,europe
142,Case Western Reserve University,0,0,0.0,0,0,0,0,0,0,0,0,0,0,North America
143,Washington State University,0,0,0.0,0,0,0,0,0,0,0,0,0,0,North America
144,IUST,0,0,0.0,0,0,0,0,0,0,0,0,0,0,asia
145,University of Utah,0,0,0.0,0,0,0,0,0,0,0,0,0,0,North America
146,Chinese University of Hong Kong,0,0,5.291666666666666,0,0,0,0,0,0,0,0,0,0,asia
147,University of Arizona,0,0,0.0,0,0,0,0,0,0,0,0,0,0,North America
148,University of Oklahoma,0,0,0.0,0,0,0,0,0,0,0,0,0,0,North America
149,University of Göttingen,0,0,1.0,0,0,0,0,0,0,0,0,0,0,europe
150,Izmir Institute of Technology,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
151,Universidad de Zaragoza,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
152,Louisiana Tech University,0,0,0.0,0,0,0,0,0,0,0,0,0,0,North America
153,Yale University,0,0,0.0,0,0,0,0,0,0,0,0,0,0,North America
154,Imperial College London,0,0,5.340555555555556,0,0,0,0,0,0,0,0,0,0,europe
155,University of Hong Kong,0,0,0.0408163265306122,0,0,0,0,0,0,0,0,0,0,asia
156,Heriot-Watt University,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
157,National University of Singapore,0,0,0.0,0,0,0,0,0,0,0,0,0,0,asia
158,University of Manitoba,0,0,0.0,0,0,0,0,0,0,0,0,0,0,North America
159,University of Queensland,0,0,0.0,0,0,0,0,0,0,0,0,0,0,australasia
160,University of New Orleans,0,0,0.0,0,0,0,0,0,0,0,0,0,0,North America
161,University of Calgary,0,0,0.0,0,0,0,0,0,0,0,0,0,0,North America
162,CISPA Helmholtz Center,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
163,North Carolina State University,0,0,1.02,0,0,0,0,0,0,0,0,0,0,North America
164,University of Chicago,0,0,1.09375,0,0,0,0,0,0,0,0,0,0,North America
