Index,University,Artificial Intelligence & Machine Learning,Data Science & Data Mining,Computer Vision & Image Processing,Natural Language Processing,Systems & Networking,Databases,Security & Privacy,Human Computer Interaction,Theoretical Computer Science,Software Engineering,Computer Graphics & Virtual Reality,Quantum Computing,Interdisciplinary Fields,Continent
58,Lehigh University,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
59,Technion,0.0,0.0,138.12142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
60,New York University,0.0,0.0,141.44447862079448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
61,Northeastern University,0.0,0.0,43.58253968253969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
62,TTI Chicago,0.0,0.0,28.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
63,Univ. of Illinois at Urbana-Champaign,0.0,0.0,66.3772366522367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
64,Carnegie Mellon University,0.0,0.0,246.806782106782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
65,Sichuan University,0.0,0.0,4.057575757575757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
66,University of Bristol,0.0,0.0,13.146572871572872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
67,University of Pennsylvania,0.0,0.0,75.69667212268023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
68,UNSW,0.0,0.0,6.270634920634921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australasia
69,Rochester Institute of Technology,0.0,0.0,5.242857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
70,Australian National University,0.0,0.0,80.45873015873019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australasia
71,University of Melbourne,0.0,0.0,25.485714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australasia
72,Imperial College London,0.0,0.0,72.5195526695527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
73,USTC,0.0,0.0,5.079365079365078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
74,Concordia University,0.0,0.0,12.694047619047618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
75,University of Cambridge,0.0,0.0,13.637049062049062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
76,ETH Zurich,0.0,0.0,211.87627002627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
77,University of Freiburg,0.0,0.0,86.77463924963928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
78,University of Wisconsin - Madison,0.0,0.0,44.74105339105341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
79,Illinois Institute of Technology,0.0,0.0,0.8333333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
80,Peking University,0.0,0.0,96.58443362193375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
81,University of North Carolina,0.0,0.0,66.0438852813853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
82,University of Tübingen,0.0,0.0,133.94484126984133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
83,National University of Singapore,0.0,0.0,55.09269480519483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
84,Harbin Institute of Technology,0.0,0.0,45.57217509193318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
85,Rice University,0.0,0.0,21.986580086580087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
86,West Virginia University,0.0,0.0,7.010714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
87,University of Surrey,0.0,0.0,53.193037518037535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
88,Korea University,0.0,0.0,32.27695209697497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
89,Stony Brook University,0.0,0.0,27.08809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
90,Univ. of California - Davis,0.0,0.0,9.008583959899749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
91,Seoul National University,0.0,0.0,130.89372294372305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
92,Univ. of California - San Diego,0.0,0.0,258.1462856587856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
93,Leiden University,0.0,0.0,4.716666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
94,Fudan University,0.0,0.0,14.484595959595955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
95,University of Hong Kong,0.0,0.0,34.40695868459028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
96,RWTH Aachen University,0.0,0.0,26.476190476190467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
97,University of Minnesota,0.0,0.0,10.165151515151512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
98,MBZUAI,0.0,0.0,86.88025908310539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
99,KAIST,0.0,0.0,118.18412698412706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
100,Aalto University,0.0,0.0,40.98690476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
101,VU Amsterdam,0.0,0.0,1.3666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
102,George Mason University,0.0,0.0,8.354545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
103,Open University UK,0.0,0.0,2.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
104,KU Leuven,0.0,0.0,8.083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
105,University of Macau,0.0,0.0,18.5813492063492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
106,CISPA Helmholtz Center,0.0,0.0,21.39260461760461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
107,Tongji University,0.0,0.0,10.383333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
108,ShanghaiTech University,0.0,0.0,38.25277777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
109,Czech Technical University,0.0,0.0,104.60668816477644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
110,University of Ottawa,0.0,0.0,2.3666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
111,Saarland University,0.0,0.0,6.542857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
112,Polytechnic University of Catalonia,0.0,0.0,1.7128389154704942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
113,University of Bonn,0.0,0.0,44.225000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
114,Nanjing University,0.0,0.0,24.3345238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
115,TU Darmstadt,0.0,0.0,82.61904761904763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
116,Chinese Academy of Sciences,0.0,0.0,60.34542545268357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
117,City University of Hong Kong,0.0,0.0,20.546536796536788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
118,KTH Royal Institute of Technology,0.0,0.0,6.456060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
119,CUHK (SZ),0.0,0.0,33.074278499278485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
120,POSTECH,0.0,0.0,113.38214285714288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
121,University of New Mexico,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
122,VinUniversity,0.0,0.0,3.8333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
123,Duke University,0.0,0.0,21.778510378510376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
124,Oregon State University,0.0,0.0,31.36608187134503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
125,Sun Yat-sen University,0.0,0.0,53.1119047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
126,University of Adelaide,0.0,0.0,73.48874458874464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australasia
127,Univ. of California - Santa Cruz,0.0,0.0,12.438131313131308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
128,University of Modena and Reggio Emilia,0.0,0.0,43.63015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
129,TU Berlin,0.0,0.0,27.280808080808075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
130,University of Copenhagen,0.0,0.0,26.566907799802543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
131,University of Chicago,0.0,0.0,46.52698412698411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
132,AUEB,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
133,Hunan University,0.0,0.0,7.078571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
134,University of Central Florida,0.0,0.0,35.11746031746032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
135,Jadavpur University,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
136,University of Trento,0.0,0.0,13.122222222222218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
137,Universidad de los Andes,0.0,0.0,16.14415584415584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
138,TU Delft,0.0,0.0,17.83658008658009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
139,University of Warsaw,0.0,0.0,0.6909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
140,Univ. of California - Santa Barbara,0.0,0.0,16.077380952380945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
141,University of Würzburg,0.0,0.0,121.12523448773447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
142,UFPE,0.0,0.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
143,Karlsruhe Institute of Technology,0.0,0.0,18.23809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
144,Middle East Technical University,0.0,0.0,5.083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
145,University of Southern California,0.0,0.0,32.96672714540362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
146,Washington University in St. Louis,0.0,0.0,3.3666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
147,Utrecht University,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
148,Xiamen University,0.0,0.0,31.952380952380945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
149,Brigham Young University,0.0,0.0,2.944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
150,Hanyang University,0.0,0.0,1.4499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
151,Purdue University,0.0,0.0,8.290873015873014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
152,Yonsei University,0.0,0.0,37.123809523809534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
153,JKU Linz,0.0,0.0,24.01944444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
154,National Tsing Hua University,0.0,0.0,16.85238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
155,Texas A&M University,0.0,0.0,15.482142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
156,Beihang University,0.0,0.0,7.469480519480518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
157,Westlake University,0.0,0.0,2.7504329004329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
158,University of Massachusetts Amherst,0.0,0.0,51.68375603864734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
159,University of Utah,0.0,0.0,12.248015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
160,Radboud University,0.0,0.0,3.411684514316093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
161,Goldsmiths University of London,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
162,ISI Kolkata,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
163,University at Buffalo,0.0,0.0,10.599718381976444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
164,Graz University of Technology,0.0,0.0,34.7143646893647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
165,Université Jean Monnet,0.0,0.0,4.619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
166,Ohio State University,0.0,0.0,12.126190476190477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
167,OHSU,0.0,0.0,2.071428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
168,Cardiff University,0.0,0.0,96.856684981685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
169,University of Tokyo,0.0,0.0,48.762373737373785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
170,Griffith University,0.0,0.0,1.0357142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australasia
171,Keio University,0.0,0.0,3.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
172,Dartmouth College,0.0,0.0,16.876785714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
173,National Institute of Informatics,0.0,0.0,23.40357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
174,National Taiwan University,0.0,0.0,20.733272283272267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
175,Beijing Jiaotong University,0.0,0.0,16.458730158730155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
176,University of Waterloo,0.0,0.0,32.78571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
177,BUPT,0.0,0.0,14.889682539682536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
178,Wayne State University,0.0,0.0,7.86547619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
179,Carleton University,0.0,0.0,0.9833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
180,Clemson University,0.0,0.0,6.220112893642304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
181,Pontificia Universidad Catolica de Chile,0.0,0.0,1.684523809523809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
182,THWS,0.0,0.0,2.499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
183,IIIT Hyderabad,0.0,0.0,11.042929292929292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
184,Chongqing University,0.0,0.0,1.226190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
185,IIIT Delhi,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
186,Yale University,0.0,0.0,18.482575757575752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
187,Ariel University,0.0,0.0,1.0166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
