Index,University,Artificial Intelligence & Machine Learning,Machine Learning,Data Science & Data Mining,Computer Vision & Image Processing,Natural Language Processing,Systems & Networking,Databases,Security & Privacy,Human Computer Interaction,Theoretical Computer Science,Software Engineering,Computer Graphics & Virtual Reality,Quantum Computing,Interdisciplinary Fields,Continent
59,Technion,0.0,120.97108590334392,0.0,138.12142857142857,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
60,New York University,0.0,136.15432402846196,0.0,141.44447862079448,41.04166666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
61,Northeastern University,0.0,27.576445288684603,0.0,43.58253968253969,2.8563492063492064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
62,TTI Chicago,0.0,50.244041476239616,0.0,28.83333333333333,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
63,Univ. of Illinois at Urbana-Champaign,0.0,43.18611111111113,0.0,66.3772366522367,4.3504329004329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
64,Carnegie Mellon University,0.0,227.24359013214524,0.0,246.806782106782,36.150444000444004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
65,Sichuan University,0.0,1.024242424242424,0.0,4.057575757575757,0.4999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
66,University of Bristol,0.0,10.952272727272726,0.0,13.146572871572872,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
67,University of Pennsylvania,0.0,43.56571275946275,0.0,75.69667212268023,21.043020385411694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
68,UNSW,0.0,6.0,0.0,6.270634920634921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
69,Rochester Institute of Technology,0.0,6.966190476190476,0.0,5.242857142857144,1.4830659536541888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
70,Australian National University,0.0,15.693686868686866,0.0,80.45873015873019,6.043154761904761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
71,University of Melbourne,0.0,12.524999999999999,0.0,25.485714285714284,2.317832167832168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
72,Imperial College London,0.0,29.32921888053466,0.0,72.5195526695527,6.552991452991453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
73,USTC,0.0,4.316666666666666,0.0,5.079365079365078,1.75515873015873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
