Rank,University,Artificial intelligence,Computer systems and networks,Cybersecurity,Databases and data mining,Digital Libraries,Human computer interaction,Machine Learning,Medical Image Computing,Natural Language Processing,Parallel Computing,Program Analysis,Programming Languages,Programming languages and verification,Vision and graphics
129,University College Dublin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,KU Leuven,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,KU Leuven,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,University of Antwerp,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Radboud University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,KU Leuven,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,TU Eindhoven,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Radboud University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Radboud University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Clemson University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Clemson University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,KU Leuven,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Cornell University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,King's College London,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Ecole Normale Superieure,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,University of Oxford,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Ecole Normale Superieure,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Portland State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,University of Wisconsin - Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Rochester Institute of Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,University of Warsaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Johns Hopkins University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,NJIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,IIT Bhilai,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,University of Michigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,TU Eindhoven,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Aarhus University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,BITS Pilani-Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,University of Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,University of Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,KAUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Open University UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Open University UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Worcester Polytechnic Institute,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,University of Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,University of Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,LUMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,University of Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,University of Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Florida Atlantic University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Utrecht University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Victoria University of Wellington,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,University of Konstanz,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,University of Konstanz,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,RWTH Aachen University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,University of Fribourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,University of Otago,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,TU Ilmenau,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,IPI PAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Chalmers/GU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,Chalmers/GU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,TU Dortmund,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Brock University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Brock University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,Polytechnic University of Catalonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,University of A Coruña,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,IST Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Oregon State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,University of Southern Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Purdue University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Texas A&M at Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,University of Louisiana - Lafayette,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,TU Berlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Case Western Reserve University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Florida Atlantic University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Washington State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,IUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,IUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Washington State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,IUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,IUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Univ. of California - San Diego,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,UESTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,University of Utah,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,Chinese University of Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,University of Arizona,0,0,0,0,0,0,0,0,0,0,0,0,0,0
