Author,University
Justus Thies,TU Darmstadt
Angela Dai,TU Munich
Matthias Nießner,TU Munich
Jean-Yves Guillemaut,University of Surrey
Adrian Hilton 0001,University of Surrey
Tieniu Tan,Chinese Academy of Sciences
Kate Saenko,Boston University
Raja Giryes,Tel Aviv University
Jean-François Lalonde,Université Laval
Jacob Steinhardt,Univ. of California - Berkeley
Qingming Huang,Chinese Academy of Sciences
Xiaogang Wang 0001,Chinese University of Hong Kong
Hongsheng Li 0001,Chinese University of Hong Kong
Yu Qiao 0001,Chinese Academy of Sciences
Bharath Hariharan,Cornell University
Subhransu Maji,University of Massachusetts Amherst
Charless C. Fowlkes,Univ. of California - Irvine
Zhuowen Tu,Univ. of California - San Diego
Fabio Galasso,Sapienza University of Rome
Emanuele Rodolà,Sapienza University of Rome
Adrian Hilton 0001,University of Surrey
Matteo Matteucci,Politecnico di Milano
Boxin Shi,Peking University
Fumio Okura,Osaka University
Yasuyuki Matsushita,Osaka University
Zhangyang Wang,University of Texas at Austin
Kede Ma,City University of Hong Kong
Tae-Kyun Kim 0001,KAIST
Simon Lucey,University of Adelaide
Jun-Yan Zhu,Carnegie Mellon University
Phillip Isola,Massachusetts Institute of Technology
Ivan Dokmanic,University of Basel
Petr Kellnhofer,TU Delft
Jiajun Wu 0001,Stanford University
Gordon Wetzstein,Stanford University
Jinwei Gu,Chinese University of Hong Kong
Chen Change Loy,Nanyang Technological University
Chen Change Loy,Nanyang Technological University
Markus Gross 0001,ETH Zurich
Ngai-Man Cheung,SUTD
Anna Goldenberg,University of Toronto
Zhanyu Ma,BUPT
Yi-Zhe Song,University of Surrey
Jun Guo 0002,BUPT
Chun-Yi Lee,National Taiwan University
Yu Xiang 0001,University of Texas at Dallas
Masashi Sugiyama,University of Tokyo
Nasser M. Nasrabadi,West Virginia University
Linda G. Shapiro,University of Washington
Lior Wolf,Tel Aviv University
Torsten Sattler,Czech Technical University
Chang Xu 0002,University of Sydney
Siwei Ma,Peking University
Chao Xu 0006,Peking University
Wen Gao 0001,Peking University
Chang Xu 0002,University of Sydney
Chao Xu 0006,Peking University
Jiaya Jia,HKUST
Laurent Kneip,ShanghaiTech University
Linchao Bao,University of Birmingham
Junsong Yuan 0001,University at Buffalo
Hengshuang Zhao,University of Hong Kong
Jiaya Jia,HKUST
Ziad Al-Halah,University of Utah
Chenliang Xu,University of Rochester
Zhenzhong Chen,Wuhan University
Tianlong Chen,University of North Carolina
Shiyu Chang,Univ. of California - Santa Barbara
Sijia Liu 0001,Michigan State University
Michael Carbin,Massachusetts Institute of Technology
Zhangyang Wang,University of Texas at Austin
Si Liu 0001,Beihang University
Haibin Ling,Stony Brook University
Matthias Nießner,TU Munich
Angel X. Chang,Simon Fraser University
Kaiming He,Massachusetts Institute of Technology
Hyung Jin Chang,University of Birmingham
Jinming Duan 0001,University of Birmingham
Linlin Shen,Shenzhen University
Ales Leonardis,University of Birmingham
Feng Zheng,SUSTech
Wei-Shi Zheng 0001,Sun Yat-sen University
Qi Zhao 0001,University of Minnesota
Zhixiang Chen 0003,University of Sheffield
Tae-Kyun Kim 0001,KAIST
Hao Zhang 0002,Simon Fraser University
Hao Li 0015,MBZUAI
Xiaolong Wang 0004,Univ. of California - San Diego
Si Liu 0001,Beihang University
Lei Li 0005,Carnegie Mellon University
Jiaya Jia,HKUST
Bin Li 0015,Fudan University
Xiangyang Xue 0001,Fudan University
Xiaojun Qi,Utah State University
Lei Zhang 0006,The Hong Kong Polytechnic University
Kwan-Yee K. Wong,University of Hong Kong
Yu Qiao 0001,Chinese Academy of Sciences
Bohan Zhuang,Zhejiang University
Chunhua Shen,Zhejiang University
Subhransu Maji,University of Massachusetts Amherst
Erik G. Learned-Miller,University of Massachusetts Amherst
Yang Yang 0002,UESTC
Ser-Nam Lim,University of Central Florida
Shengfeng He,Singapore Management University
Zeynep Akata,University of Tübingen
Bo Zhang 0010,Tsinghua University
Cihang Xie,Univ. of California - Santa Cruz
Cho-Jui Hsieh,Univ. of California - Los Angeles
Boqing Gong,Boston University
Gang Zeng,Peking University
Chaoqi Chen,Shenzhen University
Yue Huang 0001,Xiamen University
Xinghao Ding,Xiamen University
Yizhou Yu,University of Hong Kong
Gang Pan 0001,Zhejiang University
Tianlong Chen,University of North Carolina
Zhiqiang Shen,MBZUAI
Zhangyang Wang,University of Texas at Austin
Dongming Lu,Zhejiang University
Alexander C. Berg,Univ. of California - Irvine
Hongdong Li,Australian National University
Yuta Asano,National Institute of Informatics
Yinqiang Zheng,University of Tokyo
Imari Sato,National Institute of Informatics
Ran Cheng,SUSTech
Yu-Wing Tai,Dartmouth College
Chi-Keung Tang,HKUST
Nuno Vasconcelos,Univ. of California - San Diego
Joseph E. Gonzalez,Univ. of California - Berkeley
Yang Wang 0003,Concordia University
Gerard Pons-Moll,University of Tübingen
Vincent Lepetit,Graz University of Technology
Diana Marculescu,Carnegie Mellon University
Diana Marculescu,Carnegie Mellon University
In So Kweon,KAIST
Kavita Bala,Cornell University
Bharath Hariharan,Cornell University
Changick Kim,KAIST
Jiachen Li 0001,Univ. of California - Riverside
Seungryong Kim,KAIST
Jaegul Choo,KAIST
Changick Kim,KAIST
Kyoung Mu Lee,Seoul National University
Jaegul Choo,KAIST
Kwang Moo Yi,University of British Columbia
Hyung Jin Chang,University of Birmingham
Gregory D. Hager,Johns Hopkins University
Chu-Song Chen,National Taiwan University
Seung-Hwan Baek,POSTECH
Wolfgang Heidrich,KAUST
Felix Heide,Princeton University
Roberto Capobianco,Sapienza University of Rome
Bernard Ghanem,KAUST
Oisin Mac Aodha,University of Edinburgh
Pietro Perona,California Institute of Technology
Gerard Pons-Moll,University of Tübingen
Justus Thies,TU Darmstadt
Matthias Nießner,TU Munich
Qiao Li 0001,Xiamen University
Antoni B. Chan,City University of Hong Kong
Chun Jason Xue,MBZUAI
Svetlana Lazebnik,Univ. of Illinois at Urbana-Champaign
Nasser M. Nasrabadi,West Virginia University
Alex M. Bronstein,Technion
Chunhua Shen,Zhejiang University
Si Liu 0001,Beihang University
Jun Liu 0036,Lancaster University
Ling-Yu Duan,Peking University
Angela Dai,TU Munich
Justus Thies,TU Darmstadt
Matthias Nießner,TU Munich
Changshui Zhang,Tsinghua University
Joseph E. Gonzalez,Univ. of California - Berkeley
Suchendra M. Bhandarkar,University of Georgia
Cheng Deng,Xidian University
Xu Yang 0019,Xidian University
Heng Huang,University of Maryland - College Park
Aviv Tamar,Technion
Bernard Ghanem,KAUST
Daniel Cremers,TU Munich
Wen Li 0001,UESTC
Lixin Duan,UESTC
Qi Wu 0001,University of Adelaide
Stefanos Zafeiriou,Imperial College London
Shengfeng He,Singapore Management University
Kui Jia,CUHK (SZ)
Zhijie Deng,Shanghai Jiao Tong University
Jun Zhu 0001,Tsinghua University
Liang Zheng 0001,Australian National University
Justin Johnson 0001,University of Michigan
Abhijeet Ghosh,Imperial College London
Tianjia Shao,Zhejiang University
Kun Zhou 0001,Zhejiang University
He Wang 0002,University of Leeds
Jungong Han,University of Sheffield
Guiguang Ding,Tsinghua University
Jungong Han,University of Sheffield
Guiguang Ding,Tsinghua University
Hui Kong 0001,University of Macau
Zuzana Kukelova,Czech Technical University
Mingyu Ding,University of North Carolina
Zhiwu Lu 0001,Renmin University of China
Ping Luo 0002,University of Hong Kong
Zhihui Zhu,Ohio State University
Alan L. Yuille,Johns Hopkins University
Wei Shen 0002,Shanghai Jiao Tong University
Stefan Roth 0001,TU Darmstadt
He Wang 0010,Peking University
Baoquan Chen,Peking University
Leonidas J. Guibas,Stanford University
Guillermo Sapiro,Princeton University
Panagiotis Tsiotras,Georgia Institute of Technology
Konstantinos G. Derpanis,York University
Björn Ommer,LMU Munich
Gangshan Wu,Nanjing University
Jingjing Li 0001,UESTC
Ke Lu 0001,UESTC
Vineeth N. Balasubramanian,IIT Hyderabad
